4GTV1080,#genre#

TV5MONDE Style,http://xg.52sw.top:5000/4gtv/178
TVBS 台劇台,http://xg.52sw.top:5000/4gtv/285
TVBS 新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv072
TVBS 精采台,http://xg.52sw.top:5000/litv/4gtv-4gtv067
TVBS 綜藝台,http://xg.52sw.top:5000/4gtv/284
TVBS 歡樂台,http://xg.52sw.top:5000/litv/4gtv-4gtv068
TVBS,http://xg.52sw.top:5000/litv/4gtv-4gtv073
VOA 美國之音,http://xg.52sw.top:5000/litv/litv-ftv03
人間衛視,http://xg.52sw.top:5000/4gtv/210
八大精彩台,http://xg.52sw.top:5000/litv/4gtv-4gtv034
八大綜藝台,http://xg.52sw.top:5000/litv/4gtv-4gtv039
三立新聞,http://xg.52sw.top:5000/4gtv/229
三立綜合台,http://xg.52sw.top:5000/4gtv/169
大愛電視,http://xg.52sw.top:5000/4gtv/209
大愛電視2,http://xg.52sw.top:5000/4gtv/230
中天亞洲台,http://xg.52sw.top:5000/litv/4gtv-4gtv109
中天新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv009
中視,http://xg.52sw.top:5000/litv/4gtv-4gtv040
中視菁采台,http://xg.52sw.top:5000/litv/4gtv-4gtv064
中視新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv074
中視經典台,http://xg.52sw.top:5000/litv/4gtv-4gtv080
公視戲劇台,http://xg.52sw.top:5000/litv/4gtv-4gtv042
半島國際新聞台,http://xg.52sw.top:5000/litv/litv-ftv10
台視,http://xg.52sw.top:5000/litv/4gtv-4gtv066
台視財經台,http://xg.52sw.top:5000/litv/4gtv-4gtv056
台視新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv051
台灣戲劇台,http://xg.52sw.top:5000/litv/litv-longturn22
民視,http://xg.52sw.top:5000/litv/4gtv-4gtv155
民視台灣台,http://xg.52sw.top:5000/litv/4gtv-4gtv001
民視旅遊台,http://xg.52sw.top:5000/litv/litv-ftv07
民視第一台,http://xg.52sw.top:5000/litv/4gtv-4gtv003
民視新聞台,http://xg.52sw.top:5000/litv/litv-ftv13
民視綜藝台,http://xg.52sw.top:5000/litv/4gtv-4gtv004
民視影劇台,http://xg.52sw.top:5000/litv/litv-ftv09
好消息,http://xg.52sw.top:5000/litv/litv-ftv16
好消息2台,http://xg.52sw.top:5000/litv/litv-ftv17
車迷 TV,http://xg.52sw.top:5000/4gtv/160
亞洲旅遊台,http://xg.52sw.top:5000/litv/litv-longturn17
兒童卡通台,http://xg.52sw.top:5000/4gtv/269
幸福空間居家台,http://xg.52sw.top:5000/4gtv/168
東森財經新聞,http://xg.52sw.top:5000/litv/4gtv-4gtv153
東森新聞,http://xg.52sw.top:5000/litv/4gtv-4gtv152
東森購物一台,http://xg.52sw.top:5000/4gtv/173
東森購物二台,http://xg.52sw.top:5000/4gtv/174
東森購物三台,http://xg.52sw.top:5000/4gtv/287
東森購物四台,http://xg.52sw.top:5000/4gtv/286
花系列 經典劇場,http://xg.52sw.top:5000/4gtv/279
采昌影劇台,http://xg.52sw.top:5000/litv/4gtv-4gtv049
金光布袋戲,http://xg.52sw.top:5000/4gtv/236
非凡商業台,http://xg.52sw.top:5000/litv/4gtv-4gtv048
非凡新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv010
客家電視台,http://xg.52sw.top:5000/litv/4gtv-4gtv043
原住民族電視台,http://xg.52sw.top:5000/4gtv/273
時尚運動X,http://xg.52sw.top:5000/4gtv/277
國會頻道1,http://xg.52sw.top:5000/litv/4gtv-4gtv084
