台湾smt,#genre#
台视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ttv_taiwan
台视新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=ttvnews_twn
台视综合,http://smt.iktv.ddns-ip.net/Smart.php?id=ttvzhonghe
中视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshihd_twn
中视新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshinews_twn
中视经典,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshi_twn
华视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ctshd_twn
公视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ctv_taiwan
公视台语台,http://smt.iktv.ddns-ip.net/Smart.php?id=ctv2_twn
三立台湾台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlitaiwan
三立都会台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlidouhui
三立综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlizhonghe
三立戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlixiju_twn
东森新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvnews
东森财经新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvcaijing_twn
东森综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvzhonghe
东森戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvdrama
东森电影台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvmovie
东森洋片台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvwestern
东森幼幼台,http://smt.iktv.ddns-ip.net/Smart.php?id=yoyo_twn
东森超视,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvsuper
TVBS HD,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbs
TVBS 新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbs_n
TVBS 欢乐台,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbshuanle_twn
民视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvhd_taiwan
民视新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvnew_taiwan
民视台湾台,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvtaiwan_twn
中天综合,http://smt.iktv.ddns-ip.net/Smart.php?id=ctizhonghe
中天娱乐,http://smt.iktv.ddns-ip.net/Smart.php?id=ctient
中天亚洲,http://smt.iktv.ddns-ip.net/Smart.php?id=ctiasia_twn
中天新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=ctinews
寰宇新闻台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyuxinwen_twn
寰宇财经台,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyutaiwan_twn
八大第一台,http://smt.iktv.ddns-ip.net/Smart.php?id=badafirst
八大综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=badazhonghe
八大戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=badadrama
八大娱乐台,http://smt.iktv.ddns-ip.net/Smart.php?id=badaentertain
纬来体育,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandsport
纬来精彩,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandspecial_twn
纬来日本,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandjapan
